year,country_code,count
2010,https://openalex.org/countries/CN,105706
2010,https://openalex.org/countries/US,70220
2010,https://openalex.org/countries/GB,19156
2010,https://openalex.org/countries/JP,17299
2010,https://openalex.org/countries/DE,16558
2010,https://openalex.org/countries/FR,14612
2010,https://openalex.org/countries/CA,11916
2010,https://openalex.org/countries/IT,9373
2010,https://openalex.org/countries/ES,8555
2010,https://openalex.org/countries/IN,8047
2010,https://openalex.org/countries/AU,7956
2010,https://openalex.org/countries/KR,7508
2010,https://openalex.org/countries/TW,7074
2010,https://openalex.org/countries/NL,5936
2010,https://openalex.org/countries/IR,4846
2010,https://openalex.org/countries/BR,4217
2010,https://openalex.org/countries/CH,3796
2010,https://openalex.org/countries/BE,3471
2010,https://openalex.org/countries/HK,3403
2010,https://openalex.org/countries/PL,3385
2010,https://openalex.org/countries/SE,3108
2010,https://openalex.org/countries/SG,2910
2010,https://openalex.org/countries/TR,2889
2010,https://openalex.org/countries/RU,2681
2010,https://openalex.org/countries/MY,2538
2010,https://openalex.org/countries/IL,2321
2010,https://openalex.org/countries/GR,2264
2010,https://openalex.org/countries/MX,2201
2010,https://openalex.org/countries/AT,2131
2010,https://openalex.org/countries/PT,2055
2010,https://openalex.org/countries/RO,1975
2010,https://openalex.org/countries/FI,1854
2010,https://openalex.org/countries/DK,1732
2010,https://openalex.org/countries/CZ,1709
2010,https://openalex.org/countries/NO,1543
2010,https://openalex.org/countries/IE,1397
2010,https://openalex.org/countries/NZ,1267
2010,https://openalex.org/countries/TH,1112
2010,https://openalex.org/countries/EG,1078
2010,https://openalex.org/countries/ZA,1006
2010,https://openalex.org/countries/HU,968
2010,https://openalex.org/countries/AR,748
2010,https://openalex.org/countries/PK,740
2010,https://openalex.org/countries/SA,732
2010,https://openalex.org/countries/CO,724
2010,https://openalex.org/countries/ID,676
2010,https://openalex.org/countries/SI,659
2010,https://openalex.org/countries/CL,639
2010,https://openalex.org/countries/UA,627
2010,https://openalex.org/countries/RS,552
2010,https://openalex.org/countries/DZ,549
2010,https://openalex.org/countries/TN,539
2010,https://openalex.org/countries/SK,503
2010,https://openalex.org/countries/BG,425
2010,https://openalex.org/countries/HR,418
2010,https://openalex.org/countries/VN,385
2010,https://openalex.org/countries/BD,360
2010,https://openalex.org/countries/CY,307
2010,https://openalex.org/countries/JO,304
2010,https://openalex.org/countries/IQ,303
2010,https://openalex.org/countries/AE,302
2010,https://openalex.org/countries/LT,283
2010,https://openalex.org/countries/MA,257
2010,https://openalex.org/countries/LV,221
2010,https://openalex.org/countries/VE,214
2010,https://openalex.org/countries/EE,190
2010,https://openalex.org/countries/LU,179
2010,https://openalex.org/countries/NG,179
2010,https://openalex.org/countries/CU,175
2010,https://openalex.org/countries/QA,168
2010,https://openalex.org/countries/MO,165
2010,https://openalex.org/countries/LB,161
2010,https://openalex.org/countries/KW,144
2010,https://openalex.org/countries/PH,143
2010,https://openalex.org/countries/IS,142
2010,https://openalex.org/countries/BY,115
2010,https://openalex.org/countries/MK,115
2010,https://openalex.org/countries/LK,111
2010,https://openalex.org/countries/PR,101
2010,https://openalex.org/countries/TJ,97
2010,https://openalex.org/countries/OM,91
2010,https://openalex.org/countries/UY,84
2010,https://openalex.org/countries/PE,81
2010,https://openalex.org/countries/NP,78
2010,https://openalex.org/countries/BA,72
2010,https://openalex.org/countries/GH,71
2010,https://openalex.org/countries/KE,59
2010,https://openalex.org/countries/MN,59
2010,https://openalex.org/countries/AZ,55
2010,https://openalex.org/countries/EC,55
2010,https://openalex.org/countries/MT,50
2010,https://openalex.org/countries/CR,45
2010,https://openalex.org/countries/SD,45
2010,https://openalex.org/countries/VG,45
2010,https://openalex.org/countries/ME,44
2010,https://openalex.org/countries/PS,43
2010,https://openalex.org/countries/YE,42
2010,https://openalex.org/countries/BI,41
2010,https://openalex.org/countries/CM,39
2010,https://openalex.org/countries/AM,38
2010,https://openalex.org/countries/LY,38
2010,https://openalex.org/countries/UZ,38
2010,https://openalex.org/countries/MM,37
2010,https://openalex.org/countries/TT,36
2010,https://openalex.org/countries/BH,35
2010,https://openalex.org/countries/BO,35
2010,https://openalex.org/countries/GE,35
2010,https://openalex.org/countries/ZW,35
2010,https://openalex.org/countries/KZ,33
2010,https://openalex.org/countries/UG,32
2010,https://openalex.org/countries/MD,30
2010,https://openalex.org/countries/SY,30
2010,https://openalex.org/countries/TZ,30
2010,https://openalex.org/countries/SS,28
2010,https://openalex.org/countries/JM,26
2010,https://openalex.org/countries/KH,26
2010,https://openalex.org/countries/AL,25
2010,https://openalex.org/countries/BF,25
2010,https://openalex.org/countries/ET,25
2010,https://openalex.org/countries/GP,24
2010,https://openalex.org/countries/BW,22
2010,https://openalex.org/countries/MZ,22
2010,https://openalex.org/countries/MU,20
2010,https://openalex.org/countries/PA,17
2010,https://openalex.org/countries/RE,17
2010,https://openalex.org/countries/BN,16
2010,https://openalex.org/countries/NI,13
2010,https://openalex.org/countries/BJ,12
2010,https://openalex.org/countries/NE,12
2010,https://openalex.org/countries/FJ,10
2010,https://openalex.org/countries/DO,9
2010,https://openalex.org/countries/GT,9
2010,https://openalex.org/countries/NA,8
2010,https://openalex.org/countries/PY,8
2010,https://openalex.org/countries/XK,8
2010,https://openalex.org/countries/CI,7
2010,https://openalex.org/countries/LI,7
2010,https://openalex.org/countries/ML,7
2010,https://openalex.org/countries/RW,7
2010,https://openalex.org/countries/ZM,7
2010,https://openalex.org/countries/HN,6
2010,https://openalex.org/countries/MW,6
2010,https://openalex.org/countries/PF,6
2010,https://openalex.org/countries/SN,6
2010,https://openalex.org/countries/CD,5
2010,https://openalex.org/countries/BS,4
2010,https://openalex.org/countries/GU,4
2010,https://openalex.org/countries/KG,4
2010,https://openalex.org/countries/LA,4
2010,https://openalex.org/countries/AG,3
2010,https://openalex.org/countries/DJ,3
2010,https://openalex.org/countries/GA,3
2010,https://openalex.org/countries/AF,2
2010,https://openalex.org/countries/AO,2
2010,https://openalex.org/countries/BM,2
2010,https://openalex.org/countries/BT,2
2010,https://openalex.org/countries/CG,2
2010,https://openalex.org/countries/CW,2
2010,https://openalex.org/countries/FO,2
2010,https://openalex.org/countries/GW,2
2010,https://openalex.org/countries/IM,2
2010,https://openalex.org/countries/KY,2
2010,https://openalex.org/countries/LR,2
2010,https://openalex.org/countries/LS,2
2010,https://openalex.org/countries/MC,2
2010,https://openalex.org/countries/MG,2
2010,https://openalex.org/countries/MR,2
2010,https://openalex.org/countries/NC,2
2010,https://openalex.org/countries/PG,2
2010,https://openalex.org/countries/SV,2
2010,https://openalex.org/countries/TG,2
2010,https://openalex.org/countries/VI,2
2010,https://openalex.org/countries/BB,1
2010,https://openalex.org/countries/BZ,1
2010,https://openalex.org/countries/CV,1
2010,https://openalex.org/countries/ER,1
2010,https://openalex.org/countries/GD,1
2010,https://openalex.org/countries/GL,1
2010,https://openalex.org/countries/GM,1
2010,https://openalex.org/countries/GY,1
2010,https://openalex.org/countries/HT,1
2010,https://openalex.org/countries/MQ,1
2010,https://openalex.org/countries/MV,1
2010,https://openalex.org/countries/SC,1
2010,https://openalex.org/countries/SZ,1
2010,https://openalex.org/countries/TM,1
2011,https://openalex.org/countries/CN,107349
2011,https://openalex.org/countries/US,71337
2011,https://openalex.org/countries/GB,19258
2011,https://openalex.org/countries/JP,17222
2011,https://openalex.org/countries/DE,17103
2011,https://openalex.org/countries/FR,15217
2011,https://openalex.org/countries/CA,11872
2011,https://openalex.org/countries/IT,10096
2011,https://openalex.org/countries/IN,10065
2011,https://openalex.org/countries/ES,9403
2011,https://openalex.org/countries/AU,8868
2011,https://openalex.org/countries/KR,8821
2011,https://openalex.org/countries/TW,7099
2011,https://openalex.org/countries/IR,6159
2011,https://openalex.org/countries/NL,5982
2011,https://openalex.org/countries/BR,4660
2011,https://openalex.org/countries/CH,4028
2011,https://openalex.org/countries/PL,3637
2011,https://openalex.org/countries/SE,3509
2011,https://openalex.org/countries/BE,3490
2011,https://openalex.org/countries/HK,3379
2011,https://openalex.org/countries/MY,3247
2011,https://openalex.org/countries/TR,3092
2011,https://openalex.org/countries/SG,3042
2011,https://openalex.org/countries/RU,2997
2011,https://openalex.org/countries/AT,2504
2011,https://openalex.org/countries/MX,2414
2011,https://openalex.org/countries/GR,2376
2011,https://openalex.org/countries/PT,2299
2011,https://openalex.org/countries/IL,2290
